,question,answer_aliases,answers,answers_norm,aliases_norm
174,In which decade of the 20th century was Dan Aykroyd born?,"['The Fifties' '1950s' '1950-1959' ""50's"" '1950’s' '50s' '1950–1959'
 'Nineteen-fifties' '1950s (decade)' '1950ies' ""1950's"" ""'50s"" '195%3F'
 'Fifties']",50s,50s,"['the fifties', '1950s', '19501959', '50s', '1950s', '50s', '19501959', 'nineteenfifties', '1950s decade', '1950ies', '1950s', '50s', '1953f', 'fifties']"
175,Which American wrote The Game of Chess in 1959?,"['Bobby Fischer (Chess career)' ""Fisher's endgame"" 'Bob Fischer'
 'Bobby Fischer' 'Bobby Fischer (chess career)' 'Robert James Fischer'
 'Bobby Fischer (biography)' 'Bobbie fischer' 'Regina Wender'
 'Bobby fischer' 'Robert J Fischer' 'Bobby Ficsher' 'Bobbie Fisher'
 ""Fischer's endgame"" 'Bobby Fisher' 'Robert J. Fischer']",Bobby Fischer,bobby fischer,"['bobby fischer chess career', 'fishers endgame', 'bob fischer', 'bobby fischer', 'bobby fischer chess career', 'robert james fischer', 'bobby fischer biography', 'bobbie fischer', 'regina wender', 'bobby fischer', 'robert j fischer', 'bobby ficsher', 'bobbie fisher', 'fischers endgame', 'bobby fisher', 'robert j fischer']"
176,Which leader did Hitler meet in the Brenner Pass in WWII?,"['Moussolini' 'Mouselinni' 'Musilini' 'Benito Musilini'
 'Benito Mussellini' 'Benito Muselini' 'Mussilini' 'Benito Musellini'
 'Musollini' 'Benito Moosillini' 'Benito Moosilini' 'Mussolinian'
 'Moosillini' 'Mussolinism' 'Mussellini' 'Benito Mussalini' 'Mussollini'
 'Mouselini' 'Benito Mussollini' 'Benito Amilcare Andrea Mussolini'
 'Musselini' 'Moosolini' 'Muselini' 'Mussalini' 'Benito Moosellini'
 'Benito Mussilini' 'Benito Musselini' 'Benito Musollini'
 'Benito Mussolini' 'Benito mussolini' 'Moosilini' 'Musillini' 'Mussloini'
 'Moosellini' 'Benito Moosolini' 'Benito Mooselini'
 'Benito Amilcare Mussolini' 'Moosollini' 'Mussillini' 'Benito Musolini'
 'Benito Andrea Mussolini' 'Benito Musillini' 'Musellini'
 'Benny Mussolini' 'Benito Mussillini' 'Mooselini' 'Benito Moosollini'
 'Musolini' 'Mussolini, Benito' 'Mussolini'
 ""Benito Mussolini's religious beliefs""]",Mussolini,mussolini,"['moussolini', 'mouselinni', 'musilini', 'benito musilini', 'benito mussellini', 'benito muselini', 'mussilini', 'benito musellini', 'musollini', 'benito moosillini', 'benito moosilini', 'mussolinian', 'moosillini', 'mussolinism', 'mussellini', 'benito mussalini', 'mussollini', 'mouselini', 'benito mussollini', 'benito amilcare andrea mussolini', 'musselini', 'moosolini', 'muselini', 'mussalini', 'benito moosellini', 'benito mussilini', 'benito musselini', 'benito musollini', 'benito mussolini', 'benito mussolini', 'moosilini', 'musillini', 'mussloini', 'moosellini', 'benito moosolini', 'benito mooselini', 'benito amilcare mussolini', 'moosollini', 'mussillini', 'benito musolini', 'benito andrea mussolini', 'benito musillini', 'musellini', 'benny mussolini', 'benito mussillini', 'mooselini', 'benito moosollini', 'musolini', 'mussolini benito', 'mussolini', 'benito mussolinis religious beliefs']"
177,Which company first manufactured the electric toothbrush?,"['Bristol Myers-Squibb' 'Bristl-Myers Squibb' 'Bristol-Myers Squib'
 'Bristol-Meyers' 'E. R. Squibb and Sons' 'Bristol Myers Squibb'
 'Bristol–Myers Squibb' 'Bristol-Myers Squibb Company'
 'Bristol-Myers Squibb Epsilon Holdings' 'Bristol Myers' 'BMY'
 'Bristol-Myers' 'Bristol Myer Squib' 'Bristol Myers Squib'
 'E. R. Squibb & Sons' 'Bristol-Myers Corporation' 'Bristol Meyers-Squibb'
 'Bristol-Myers Squibb HIV' 'Bristol-Myers-Squibb' 'Squibb'
 'Bristol-Myers Corp.' 'Bristol Meyers Squibb' 'Bristol Myers Squibb Co.'
 'The Bristol-Myers Squibb Company'
 'Squibb Institute for Medical Research'
 'Bristol-Myers Squibb Luxembourg Sarl' 'Bristol-Myers Squibb'
 'Bristol-Myers Squibb Pharmaceutical Research Institute']",Squibb,squibb,"['bristol myerssquibb', 'bristlmyers squibb', 'bristolmyers squib', 'bristolmeyers', 'e r squibb and sons', 'bristol myers squibb', 'bristolmyers squibb', 'bristolmyers squibb company', 'bristolmyers squibb epsilon holdings', 'bristol myers', 'bmy', 'bristolmyers', 'bristol myer squib', 'bristol myers squib', 'e r squibb  sons', 'bristolmyers corporation', 'bristol meyerssquibb', 'bristolmyers squibb hiv', 'bristolmyerssquibb', 'squibb', 'bristolmyers corp', 'bristol meyers squibb', 'bristol myers squibb co', 'the bristolmyers squibb company', 'squibb institute for medical research', 'bristolmyers squibb luxembourg sarl', 'bristolmyers squibb', 'bristolmyers squibb pharmaceutical research institute']"
178,Who lived under the pseudonym of Harriet Brown in New York form the 40s to the 90s?,"['Garbo speaks' 'Mona Gabor' 'Garboesque' 'Greta Gustafson' 'Garbo, Greta'
 'Garbo Speaks' 'Greta Garbo' 'Greta Louisa Gustafsson'
 'Greta Lovisa Gustafsson' 'Greta Garbo filmography' 'Greta Gustafsson']",Greta Garbo,greta garbo,"['garbo speaks', 'mona gabor', 'garboesque', 'greta gustafson', 'garbo greta', 'garbo speaks', 'greta garbo', 'greta louisa gustafsson', 'greta lovisa gustafsson', 'greta garbo filmography', 'greta gustafsson']"
179,Which actor bought the island of Tetiaroa?,"['Marlon Brando Jr.' 'Marlon brando' 'Marlon Brando Jr' 'Marlin Brando'
 'Marlon Brando, Jr.' 'Brandoesque' 'Marlon Brando' 'Brando family']",Marlon Brando,marlon brando,"['marlon brando jr', 'marlon brando', 'marlon brando jr', 'marlin brando', 'marlon brando jr', 'brandoesque', 'marlon brando', 'brando family']"
180,"Between 1952 and 1954 did the number of TV stations in the USA double, triple or quadruple?",['Thricefold' 'Triple (disambiguation)' 'Triples' 'Triple'],Triple,triple,"['thricefold', 'triple disambiguation', 'triples', 'triple']"
181,What was Wham!'s first No 1?,['Wake Me Up Before You Go-Go' 'Wake Me Up Before You Go Go'],Wake Me Up Before You Go Go,wake me up before you go go,"['wake me up before you gogo', 'wake me up before you go go']"
182,Which musical featured the song You'll Never Walk Alone?,"['Carousels' '🎠' 'Merry-go-round' 'Loof' 'Marry Go Round' 'Merry-Go-Round'
 'Merry Go Round' 'Merry go round' 'Merry-go-Round' 'Merrygoround'
 'Carousel' 'Carrousel']",Carousel,carousel,"['carousels', '', 'merrygoround', 'loof', 'marry go round', 'merrygoround', 'merry go round', 'merry go round', 'merrygoround', 'merrygoround', 'carousel', 'carrousel']"
183,In which year was Bloody Sunday in Londonderry?,"['one thousand, nine hundred and seventy-two' '1972']",1972,1972,"['one thousand nine hundred and seventytwo', '1972']"
184,The first untethered space walk took place from which space craft?,"['Challenger' 'Challengers' 'Challengers (disambiguation)'
 'Challenger (album)' 'Challenger (disambiguation)']",Challenger,challenger,"['challenger', 'challengers', 'challengers disambiguation', 'challenger album', 'challenger disambiguation']"
185,What was the main color of a Storm trooper in Star Wars?,"['White (Colour)' 'Rgb(255, 255, 255)' 'White' 'Whitishness' 'Whiter'
 '(255, 255, 255)' 'Whitishly' 'White (political adjective)' 'White-'
 'White-Finn' 'Whitest' 'FFFFFF' 'Color/white' 'Man on a white horse']",White,white,"['white colour', 'rgb255 255 255', 'white', 'whitishness', 'whiter', '255 255 255', 'whitishly', 'white political adjective', 'white', 'whitefinn', 'whitest', 'ffffff', 'colorwhite', 'man on a white horse']"
186,Richard Nixon was Vice President to which US state?,"['Eisenhower Dwight' 'Health issues of Dwight D. Eisenhower'
 'D. D. Eisenhower' 'Dynamic Conservatism' 'General Dwight Eisenhower'
 'David Jacob Eisenhower' 'Dweight Eisenhower'
 '34th President of the United States' 'Dwight E Eisenhower' 'Eisehower'
 'President Dwight D. Eisenhower' 'David Dwight Eisenhower'
 'Ike (nickname)' 'Eisenhower' 'Eishenhower'
 'General Dwight David Eisenhower' 'Dwight D. Eisenhower'
 'President Eisenhower' 'Ike Eisenhower' 'Dwight Eisenhower'
 'D. Eisenhower' 'General Eisenhower' 'David D. Eisenhower'
 'President Dwight Eisenhower' 'Dwight eisenhower' 'Dwight Eisenhour'
 'Dwight Eisienhower' 'Dwight Eisenhauer' 'Dwight David Eisenhower'
 'Dwight D Eisenhower' 'General of the Army Dwight Eisenhower']",Dwight Eisenhower,dwight eisenhower,"['eisenhower dwight', 'health issues of dwight d eisenhower', 'd d eisenhower', 'dynamic conservatism', 'general dwight eisenhower', 'david jacob eisenhower', 'dweight eisenhower', '34th president of the united states', 'dwight e eisenhower', 'eisehower', 'president dwight d eisenhower', 'david dwight eisenhower', 'ike nickname', 'eisenhower', 'eishenhower', 'general dwight david eisenhower', 'dwight d eisenhower', 'president eisenhower', 'ike eisenhower', 'dwight eisenhower', 'd eisenhower', 'general eisenhower', 'david d eisenhower', 'president dwight eisenhower', 'dwight eisenhower', 'dwight eisenhour', 'dwight eisienhower', 'dwight eisenhauer', 'dwight david eisenhower', 'dwight d eisenhower', 'general of the army dwight eisenhower']"
187,Luxor international airport is in which country?,"['EGY' 'Arab Republic of Egypt' 'A .R . EGYPT'
 'The Arab Republic of Egypt' 'Eygpt' 'Etymology of Egypt' 'مصر' 'Kemmet'
 'Gift of the Nile' 'Arab Republic Of Egypt' 'Names of Egypt' 'Miṣr'
 'A .R . Egypt' 'Eytp' 'National identity of Egyptians'
 ""Jumhuriyat Misr al'Arabiyah"" 'Eypt' 'Egyptian Republic' 'Ejipt'
 'Name of Egypt' 'Egipto' 'Kimet' 'جمهوريّة مصرالعربيّة' 'Egypte'
 'Egypt (name)' 'Egypt' 'جمهورية مصرالعربية' 'A.R. Egypt'
 'Republic of Eygpt' 'Égypte' 'Second Egyptian Republic' 'Egipt'
 'ISO 3166-1:EG' 'Egypt info']",Egypt,egypt,"['egy', 'arab republic of egypt', 'a r  egypt', 'the arab republic of egypt', 'eygpt', 'etymology of egypt', 'مصر', 'kemmet', 'gift of the nile', 'arab republic of egypt', 'names of egypt', 'miṣr', 'a r  egypt', 'eytp', 'national identity of egyptians', 'jumhuriyat misr alarabiyah', 'eypt', 'egyptian republic', 'ejipt', 'name of egypt', 'egipto', 'kimet', 'جمهورية مصرالعربية', 'egypte', 'egypt name', 'egypt', 'جمهورية مصرالعربية', 'ar egypt', 'republic of eygpt', 'égypte', 'second egyptian republic', 'egipt', 'iso 31661eg', 'egypt info']"
188,Which country did Albert Einstein move to as the Nazis rose to power?,"['The United States of America' 'United States Of Amerca' 'Us of a'
 'U.–S.–A.' 'Americaland' 'United States (U.S.A.)' 'Amurika'
 'Unite states of america' 'United States of America (redirect)'
 'The U S A' 'Unietd States' 'EE UU' 'The U.S.A.' 'U.-S.-A.' 'Usa'
 'United Staets of America' 'Unites States' ""États-Unis d'Amérique""
 'Verenigde State' 'U.–S.' 'The United States of America.' 'The U-S-A'
 'EEUU' 'U. S. A.' 'Nagkaisang mga Estado' 'The U. S. of America'
 'The USA' 'America (United States)' 'The U. S. A.' 'U S of America'
 'UNITED STATES' 'Estados Unidos' 'The U–S' 'American United States'
 'US and A' 'Unitd states' 'The US of A' 'EE.UU.' 'U-S' 'The U-S'
 'Etymology of the United States' 'U.S.A.)' 'EE. UU.'
 'United states of america' 'US of america' 'Verenigde State van Amerika'
 'Nited States' 'United-States' 'Unite States' 'Estados Unidos de América'
 'UnitedStates' 'Estaos Unios' 'US of America' 'The Usa'
 'United states of America' 'Untied States of America'
 'The U S of America' 'THE AMERICAN UNITED STATES' 'The United-States'
 'U S A' 'AmericA' 'Estados Unidos de America' 'United states'
 'The U.S. of America' 'Amerka' 'United–States' 'U.s.a.'
 'United States of America' 'United State of America' 'United States (US)'
 'The U.S. of A' 'America' 'Amercia' ""Stati Uniti d'America""
 'Los Estados Unidos de America' 'United Stated' 'U.S.'
 'United States (of America)' 'United States' 'States of America'
 'America-class' 'Los Estados Unidos' 'U,S,' 'United States (country)'
 'Federal United States' 'ISO 3166-1:US' 'Untied States' 'The U.–S.–A.'
 'VS America' 'Amurica' ""Etats-Unis d'Amerique"" 'US' 'U.S. OF A' 'USofA'
 'Etats-Unis' 'U.S. of A' 'United States of America (U.S.A.)' 'Amarica'
 'The United States' 'U-S-A' 'United States/Introduction' 'The Us'
 'Unitesd states' 'The U S of A' 'America class' 'America magazine'
 'الولايات المتحدة الأمريكية' 'The U. S. of A' 'U S' '(USA)'
 'The United–States' 'United States (U.S.)' 'U.-S.'
 'United States of America (USA)' ""'merica"" 'The US'
 'United States of America.' 'UNited States' 'The U.S.' 'AMERICA'
 'United States of America/OldPage' 'United+States' 'The U S'
 'United Sates' 'THE UNITED STATES OF AMERICA' 'U–S–A'
 'United States Of America' 'U.S. of America' 'U–S'
 'Los Estados Unidos de América' 'The U.-S.' 'United sates'
 'The United States Of America' 'America (country)'
 'United States of American' 'United state of america' 'The U.–S.'
 'Amurka' 'U. S. of A' 'The U. S.' 'United States America' 'US of A'
 'États-Unis' 'USoA' 'USA' 'Estaos Uníos' 'America, United States of'
 'U. S. of America' 'U.S.American' '(US)' 'The U–S–A' 'U. S.'
 'U.S. America' 'U.S. A' 'Yankee land' 'America (US)' 'U.S'
 'America (United States of)' 'US (country)' 'UNITED STATES OF AMERICA'
 'U.S.A' 'Estados unidos' 'Americia' 'The US of america'
 'Vereinigte Staaten' 'US America' 'These United States of America'
 'VS Amerika' 'Name of the United States' 'The united states of america'
 'Estatos Unitos' 'America (USA)' 'The U.-S.-A.'
 'United States of America/Introduction' 'The US of America'
 'Americophile' 'V.S. America' 'U.S.A.' 'U S of A' 'V.S. Amerika'
 'United+States+of+America' 'The Unites States of America']",America,america,"['the united states of america', 'united states of amerca', 'us of a', 'usa', 'americaland', 'united states usa', 'amurika', 'unite states of america', 'united states of america redirect', 'the u s a', 'unietd states', 'ee uu', 'the usa', 'usa', 'usa', 'united staets of america', 'unites states', 'étatsunis damérique', 'verenigde state', 'us', 'the united states of america', 'the usa', 'eeuu', 'u s a', 'nagkaisang mga estado', 'the u s of america', 'the usa', 'america united states', 'the u s a', 'u s of america', 'united states', 'estados unidos', 'the us', 'american united states', 'us and a', 'unitd states', 'the us of a', 'eeuu', 'us', 'the us', 'etymology of the united states', 'usa', 'ee uu', 'united states of america', 'us of america', 'verenigde state van amerika', 'nited states', 'unitedstates', 'unite states', 'estados unidos de américa', 'unitedstates', 'estaos unios', 'us of america', 'the usa', 'united states of america', 'untied states of america', 'the u s of america', 'the american united states', 'the unitedstates', 'u s a', 'america', 'estados unidos de america', 'united states', 'the us of america', 'amerka', 'unitedstates', 'usa', 'united states of america', 'united state of america', 'united states us', 'the us of a', 'america', 'amercia', 'stati uniti damerica', 'los estados unidos de america', 'united stated', 'us', 'united states of america', 'united states', 'states of america', 'americaclass', 'los estados unidos', 'us', 'united states country', 'federal united states', 'iso 31661us', 'untied states', 'the usa', 'vs america', 'amurica', 'etatsunis damerique', 'us', 'us of a', 'usofa', 'etatsunis', 'us of a', 'united states of america usa', 'amarica', 'the united states', 'usa', 'united statesintroduction', 'the us', 'unitesd states', 'the u s of a', 'america class', 'america magazine', 'الولايات المتحدة الأمريكية', 'the u s of a', 'u s', 'usa', 'the unitedstates', 'united states us', 'us', 'united states of america usa', 'merica', 'the us', 'united states of america', 'united states', 'the us', 'america', 'united states of americaoldpage', 'unitedstates', 'the u s', 'united sates', 'the united states of america', 'usa', 'united states of america', 'us of america', 'us', 'los estados unidos de américa', 'the us', 'united sates', 'the united states of america', 'america country', 'united states of american', 'united state of america', 'the us', 'amurka', 'u s of a', 'the u s', 'united states america', 'us of a', 'étatsunis', 'usoa', 'usa', 'estaos uníos', 'america united states of', 'u s of america', 'usamerican', 'us', 'the usa', 'u s', 'us america', 'us a', 'yankee land', 'america us', 'us', 'america united states of', 'us country', 'united states of america', 'usa', 'estados unidos', 'americia', 'the us of america', 'vereinigte staaten', 'us america', 'these united states of america', 'vs amerika', 'name of the united states', 'the united states of america', 'estatos unitos', 'america usa', 'the usa', 'united states of americaintroduction', 'the us of america', 'americophile', 'vs america', 'usa', 'u s of a', 'vs amerika', 'unitedstatesofamerica', 'the unites states of america']"
189,In the 90s how many points have been awarded for finishing first in a Grand Prix?,['10' 'ten'],10,10,"['10', 'ten']"
190,Which lawyer made Raymond Burr famous?,"['Perry Mason (film)' 'Perry mason'
 'Perry Mason: The Case of the Defiant Daughter' 'Perry Mason']",Perry Mason,perry mason,"['perry mason film', 'perry mason', 'perry mason the case of the defiant daughter', 'perry mason']"
191,Which broadcasting company did Edward J Noble found?,"['ABCs' 'ABC' 'A B C' 'A. B. C.' 'A.B.C.' 'ABC (channel)' 'Abc'
 'ABC (album)' 'ABC (TV)' 'ABC (disambiguation)' 'ABC (network)'
 'ABC (TV channel)' 'ABC (broadcasting)']",ABC,abc,"['abcs', 'abc', 'a b c', 'a b c', 'abc', 'abc channel', 'abc', 'abc album', 'abc tv', 'abc disambiguation', 'abc network', 'abc tv channel', 'abc broadcasting']"
192,In which decade did the Jackson 5 sign to Motown?,"['Sixties Revolution' 'Turbulent Sixties' '1960s (decade)' ""The '60's""
 ""60's"" '1960s in sports' ""1960's"" 'Nineteen sixties' 'The 60s' '1960s'
 ""The '60s"" 'Sixties' ""The 60's"" 'Nineteen-sixties' '1960ies' '1960–1969'
 '%6060s' ""'60s"" '1960-1969' '1960’s' 'The Sixties']",1960s,1960s,"['sixties revolution', 'turbulent sixties', '1960s decade', 'the 60s', '60s', '1960s in sports', '1960s', 'nineteen sixties', 'the 60s', '1960s', 'the 60s', 'sixties', 'the 60s', 'nineteensixties', '1960ies', '19601969', '6060s', '60s', '19601969', '1960s', 'the sixties']"
193,How many vice presidents did Franklin D Roosevelt have?,['3' 'Three' 'three'],Three,three,"['3', 'three', 'three']"
194,In which state is Harrah's Auto Collection situated?,"['Silver State' 'Nevada, United States' 'Sports in Nevada'
 'Geography of Nevada' 'US-NV' ""Nevada's Southern Boundary 1861-1867""
 'Transportation in Nevada' 'The Sagebrush State' 'NV (state)'
 'Education in Nevada' 'Religion in Nevada' 'Nevadian' '36th State'
 'The Battle Born State' 'Thirty-Sixth State' 'Nev.'
 'Demographics of Nevada' 'Navada' 'Nevada Annulment' 'Nevada, USA'
 'Climate of Nevada' 'Economy of Nevada' 'Thirty-sixth State'
 'State of Nevada' 'Politics of Nevada' 'Nevadan' 'Silver state'
 'Nevada (U.S. state)' 'The Silver State' 'Tikaboo Valley'
 'Nevada (state)' 'Battle Born State' 'Transport in Nevada' 'Nevada']",Nevada,nevada,"['silver state', 'nevada united states', 'sports in nevada', 'geography of nevada', 'usnv', 'nevadas southern boundary 18611867', 'transportation in nevada', 'the sagebrush state', 'nv state', 'education in nevada', 'religion in nevada', 'nevadian', '36th state', 'the battle born state', 'thirtysixth state', 'nev', 'demographics of nevada', 'navada', 'nevada annulment', 'nevada usa', 'climate of nevada', 'economy of nevada', 'thirtysixth state', 'state of nevada', 'politics of nevada', 'nevadan', 'silver state', 'nevada us state', 'the silver state', 'tikaboo valley', 'nevada state', 'battle born state', 'transport in nevada', 'nevada']"
195,What was the name of Gene Autry's horse?,"['Champion' 'Edric Egberuare' 'Title match system'
 'Intercontinental Champion' 'Champions' 'Championship game'
 'Chåmpionship']",Champion,champion,"['champion', 'edric egberuare', 'title match system', 'intercontinental champion', 'champions', 'championship game', 'chåmpionship']"
196,Which city has a sports team of Steelers and team of Pirates?,"['Smoky City' 'Pittsburgh (Pa.)' 'Pittsburgh, Pennsylvania.'
 'Frick International Studies Academy Middle School' 'Pitsburgh'
 'The Burgh' 'Pittsbrugh' 'Pittsburgh, Pa' 'Pittsburgh, USA'
 'Glenwood, Pennsylvania' 'Pittsburgh (PA)'
 'The Pittsburgh Style of Literature' 'Pittsburgh, Pennsylvania, U.S.'
 'Pittsburgh, United States of America' 'Pittsburgh Pennsyvania'
 'UN/LOCODE:USPIT' 'Da burgh' 'Pittsburgh (pgh)'
 'Climate of Pittsburgh, Pennsylvania' 'Pittsburgh' 'City of Bridges'
 'Pittsburgh Frick 6–8 Middle School' 'Pittsburgh, PA'
 ""St. Justin's High School"" 'East End (Pittsburgh)'
 'Pittsburgh, Pennsylvania, USA'
 'Pittsburgh, Allegheny County, Pennsylvania' 'The City of Bridges'
 'Pittsburgh, Pennsylvania, US' 'Fort du Quesne'
 'Pittsburgh Frick 6-8 Middle School' 'City of Pittsburgh'
 'The Steel City' 'Pittsburgh, PA.' 'Pittsburgh Style' 'Pittsburgh, Pa.'
 'Education in pittsburgh' 'Pittsburg, PA'
 'Pittsburgh, Pennsylvania, U.S.A.' 'Education in Pittsburgh'
 'Pittsburg, Pennsylvania' 'Pittsburgh, Pennsylvania']",Pittsburgh,pittsburgh,"['smoky city', 'pittsburgh pa', 'pittsburgh pennsylvania', 'frick international studies academy middle school', 'pitsburgh', 'the burgh', 'pittsbrugh', 'pittsburgh pa', 'pittsburgh usa', 'glenwood pennsylvania', 'pittsburgh pa', 'the pittsburgh style of literature', 'pittsburgh pennsylvania us', 'pittsburgh united states of america', 'pittsburgh pennsyvania', 'unlocodeuspit', 'da burgh', 'pittsburgh pgh', 'climate of pittsburgh pennsylvania', 'pittsburgh', 'city of bridges', 'pittsburgh frick 68 middle school', 'pittsburgh pa', 'st justins high school', 'east end pittsburgh', 'pittsburgh pennsylvania usa', 'pittsburgh allegheny county pennsylvania', 'the city of bridges', 'pittsburgh pennsylvania us', 'fort du quesne', 'pittsburgh frick 68 middle school', 'city of pittsburgh', 'the steel city', 'pittsburgh pa', 'pittsburgh style', 'pittsburgh pa', 'education in pittsburgh', 'pittsburg pa', 'pittsburgh pennsylvania usa', 'education in pittsburgh', 'pittsburg pennsylvania', 'pittsburgh pennsylvania']"
197,"What did Fort Dearborn, Indian Territory change its name to?","['Chi-Beria' 'Sayre language academy' 'Chicago' 'Chicago, Illinois'
 'Hog Butcher for the World' 'Land of smelly onions'
 'Ariel Community Academy' 'The weather in Chicago'
 'Chicago, Illinois, U.S.A.' 'Chicago, Illionis' 'Near North Montessori'
 'Religion in Chicago' 'Chicago Finance Committee' 'The Paris of America'
 'The city of Chicago' 'City of Chicago'
 'List of sister cities of Chicago' 'UN/LOCODE:USCHI'
 'Chicago theatre scene' 'Chicago, WI' 'The City of Broad Shoulders'
 'City of Broad Shoulders' 'Sister Cities of Chicago' 'Chicago il'
 'Chicago, Illinois, USA' 'Performing arts in Chicago'
 'Chicago Transportation Committee' 'Chicago, Wisconsin' 'City of chicago'
 'Chicago theater scene' 'Chicago, Il' 'Chicago, IL.' 'Chicago, Ill.'
 'City of Chicago, Illinois' 'Chi town' 'Chicago, United States'
 'Chicago (Ill.)' 'Transport in Chicago'
 'Chicago, Illinois, United States' 'Chicago (IL)' 'USCHI' 'Chichago'
 'Chcago' 'Chicago, Illinois, U.S.' 'Sister Cities Chicago' 'Chicago, USA'
 'Chi City' 'Chicago, IL' 'Chi-Town' 'Chicago theatre' 'Paris of America'
 'Chicago, Illinois, US' 'Chicago Illinois'
 'The city of Chicago, Illinois' 'Sister cities of Chicago']","Chicago, Illinois",chicago illinois,"['chiberia', 'sayre language academy', 'chicago', 'chicago illinois', 'hog butcher for the world', 'land of smelly onions', 'ariel community academy', 'the weather in chicago', 'chicago illinois usa', 'chicago illionis', 'near north montessori', 'religion in chicago', 'chicago finance committee', 'the paris of america', 'the city of chicago', 'city of chicago', 'list of sister cities of chicago', 'unlocodeuschi', 'chicago theatre scene', 'chicago wi', 'the city of broad shoulders', 'city of broad shoulders', 'sister cities of chicago', 'chicago il', 'chicago illinois usa', 'performing arts in chicago', 'chicago transportation committee', 'chicago wisconsin', 'city of chicago', 'chicago theater scene', 'chicago il', 'chicago il', 'chicago ill', 'city of chicago illinois', 'chi town', 'chicago united states', 'chicago ill', 'transport in chicago', 'chicago illinois united states', 'chicago il', 'uschi', 'chichago', 'chcago', 'chicago illinois us', 'sister cities chicago', 'chicago usa', 'chi city', 'chicago il', 'chitown', 'chicago theatre', 'paris of america', 'chicago illinois us', 'chicago illinois', 'the city of chicago illinois', 'sister cities of chicago']"
198,Bill Berry retired through ill health as a drummer in which band?,"['REM' 'R. E. M.' 'R. E. M' 'Rem' 'Rem (disambiguation)' 'R E M'
 'REM (disambiguation)']",REM,rem,"['rem', 'r e m', 'r e m', 'rem', 'rem disambiguation', 'r e m', 'rem disambiguation']"
199,Leslie Nielsen trained in which of the armed services in WWII?,['Royal Canadian'],Royal Canadian,royal canadian,['royal canadian']
200,What went with Blood and Sweat in the name of the 60s rock band?,"['Wept' 'Lacrymation' 'Bogorad’s Syndrome' 'Lacrimal fluid' 'Leamy eye'
 'Lachrymation' 'Watery eyes' 'Pre-corneal tear film' 'Tears'
 'Tear Duct and Gland' 'Lacrimation' 'Teary' 'Alacria' 'Basal tears'
 ""Bogorad's syndrome"" 'Epiphoria' ""Bogorad's Syndrome"" 'Reflex ears'
 'Watering eyes' 'Tear film']",Tears,tears,"['wept', 'lacrymation', 'bogorads syndrome', 'lacrimal fluid', 'leamy eye', 'lachrymation', 'watery eyes', 'precorneal tear film', 'tears', 'tear duct and gland', 'lacrimation', 'teary', 'alacria', 'basal tears', 'bogorads syndrome', 'epiphoria', 'bogorads syndrome', 'reflex ears', 'watering eyes', 'tear film']"
201,Which musical featured the song I Feel Pretty?,"['The Sharks (West Side Story)' 'Gee, Officer Krupke' 'Westside Story'
 'West Side Story 2008' 'Riff (character)' 'West side story'
 'The Jets (West Side Story)' 'Jet Song' 'West Side Story'
 'West Side Story (musical)']",West Side Story,west side story,"['the sharks west side story', 'gee officer krupke', 'westside story', 'west side story 2008', 'riff character', 'west side story', 'the jets west side story', 'jet song', 'west side story', 'west side story musical']"
202,Who produced the first Jetliner in 1957?,"['Boeing Aircraft of Canada' 'Boeing Information Services, Inc.'
 'The Boeing Company' 'Boeing Aircraft' 'Pacific Aero Products'
 'Continental DataGraphics' 'Boeing Electronics, Inc.' 'The Boeing Co.'
 'Boeing Aircraft Corp' 'Boeing Company' 'Boeing Aircraft Company'
 'Pacific Aero Products Company' 'William Boeing Jr.' 'Boeng' 'Boeing'
 'Boeing Commercial Airlines' 'Boeing Information Services'
 'BOEING Company' 'Boeing International' 'NYSE:BA' 'Boeing Co.'
 'Boeing Aircraft Corporation' 'Www.boeing.com'
 'Pacific Aero Products Co.' 'X-vehicles' 'Boeing Electronics'
 'Boeing Corporation' 'Boeing Computer Services'
 'List of Boeing Factories' 'Beoing']",Boeing,boeing,"['boeing aircraft of canada', 'boeing information services inc', 'the boeing company', 'boeing aircraft', 'pacific aero products', 'continental datagraphics', 'boeing electronics inc', 'the boeing co', 'boeing aircraft corp', 'boeing company', 'boeing aircraft company', 'pacific aero products company', 'william boeing jr', 'boeng', 'boeing', 'boeing commercial airlines', 'boeing information services', 'boeing company', 'boeing international', 'nyseba', 'boeing co', 'boeing aircraft corporation', 'wwwboeingcom', 'pacific aero products co', 'xvehicles', 'boeing electronics', 'boeing corporation', 'boeing computer services', 'list of boeing factories', 'beoing']"
203,In which decade of the 20th century was James Caan born?,"['1930’s' 'Thirties' '1930s literature' 'Nineteen-thirties' '1930–1939'
 '1930-1939' ""'30s"" '1930s' ""1930's"" '%6030s' '1930s (decade)'
 'The Thirties']",1930s,1930s,"['1930s', 'thirties', '1930s literature', 'nineteenthirties', '19301939', '19301939', '30s', '1930s', '1930s', '6030s', '1930s decade', 'the thirties']"
